Overall Market Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98198,280,"301,750.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98199,317,"733,643.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,21607,"511,627.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price By Zipcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE of sale_price,waterfront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipcode,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,"280,804.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98002,"234,284.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98003,"294,111.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98004,"986,516.63","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98005,"780,903.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98006,"774,231.38","1,097,181.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98007,"614,405.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98008,"576,676.60","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98010,"423,665.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98011,"490,377.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98014,"443,510.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98019,"424,815.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98022,"315,709.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98023,"283,367.89","671,643.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98024,"538,132.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98027,"593,413.25","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98028,"458,234.61","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98029,"602,663.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98030,"296,187.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98031,"300,539.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98032,"251,296.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98033,"725,205.86","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98034,"489,813.72","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98038,"366,416.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98039,"1,101,565.82","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98040,"954,665.71","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98042,"311,632.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98045,"434,164.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98052,"637,560.05","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98053,"660,792.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98055,"304,262.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98056,"407,155.24","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98058,"352,782.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98059,"487,862.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98065,"525,140.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98070,"457,810.68","584,068.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98072,"565,409.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98074,"660,592.00","1,101,312.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98075,"751,906.19","1,124,617.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98077,"669,127.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98092,"334,921.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98102,"765,927.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98103,"580,122.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98105,"757,783.31","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98106,"319,581.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98107,"566,622.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98108,"355,678.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98109,"787,602.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98112,"880,799.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98115,"608,414.50","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98116,"603,229.74","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98117,"574,277.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98118,"406,251.82","986,025.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98119,"768,230.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98122,"611,431.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98125,"450,740.55","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98126,"424,734.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98133,"386,997.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98136,"530,877.02","1,035,260.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98144,"547,434.00","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98146,"340,707.14","928,100.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98148,"284,908.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98155,"400,060.59","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98166,"418,056.56","922,163.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98168,"240,328.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98177,"616,957.36","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98178,"288,956.69","856,008.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98188,"289,078.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98198,"287,161.71","695,657.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98199,"732,390.13","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,"508,228.52","958,761.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undervalued Property Finder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipcode,Average Price per sqft,Average Sale Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,151.39,"280,804.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98002,151.17,"234,284.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98003,157.11,"294,111.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98004,388.76,"986,967.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98005,308.13,"780,903.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98006,281.56,"776,825.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98007,289.38,"614,405.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98008,290.54,"594,259.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98010,210.10,"423,665.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98011,226.00,"490,377.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98014,221.07,"443,510.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98019,203.06,"424,815.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98022,181.81,"315,709.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98023,148.91,"286,486.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98024,246.72,"538,132.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98027,247.84,"596,015.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98028,224.74,"460,615.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98029,270.17,"602,663.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98030,155.16,"296,187.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98031,161.13,"300,539.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98032,154.22,"251,296.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98033,326.83,"728,950.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98034,259.45,"496,869.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98038,173.51,"366,416.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98039,346.57,"1,102,126.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98040,335.06,"962,108.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98042,164.28,"311,632.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98045,219.74,"434,164.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98052,278.85,"640,131.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98053,266.38,"660,792.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98055,180.40,"304,262.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98056,213.46,"412,493.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98058,178.08,"352,782.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98059,206.10,"487,862.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98065,210.09,"525,140.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98070,280.10,"483,490.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98072,246.50,"565,409.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98074,260.88,"666,588.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98075,261.12,"762,288.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98077,241.86,"669,127.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98092,155.81,"334,921.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98102,399.98,"765,927.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98103,368.33,"580,122.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98105,378.06,"762,653.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98106,231.33,"319,581.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98107,380.03,"566,622.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98108,224.52,"355,678.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98109,408.97,"787,602.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98112,383.77,"880,799.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98115,351.29,"609,308.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98116,344.75,"604,824.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98117,362.69,"574,277.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98118,261.69,"410,825.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98119,409.46,"768,230.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98122,360.61,"611,431.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98125,280.08,"462,330.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98126,292.73,"424,734.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98133,254.00,"386,997.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98136,334.04,"540,466.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98144,302.25,"550,828.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98146,224.49,"357,023.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98148,185.83,"284,908.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98155,243.78,"409,874.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98166,222.53,"447,944.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98168,175.37,"240,328.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98177,280.66,"618,967.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98178,188.49,"308,435.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98188,169.01,"289,078.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98198,178.17,"301,750.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98199,361.41,"733,643.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,257.46,"511,627.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Trend Over Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale_date,AVERAGE of sale_price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  1/15/16,"494,733.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  2/15/16,"485,457.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  3/15/16,"515,501.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  4/15/16,"533,078.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  5/15/16,"515,938.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  5/14/17,"519,729.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  6/14/17,"527,367.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  7/14/17,"519,160.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  8/14/17,"507,810.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  9/14/17,"502,577.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  10/14/17,"508,442.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  11/14/17,"495,117.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  12/14/17,"497,170.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,"511,627.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,